case_id,id,intersection_id,intersection_name,movement_name,approach_group,approach_lane_kf,junction_lane_kf_first,junction_lane_kf_sequence,exit_group,exit_lane_kf,start_time,intersection_entry_time,intersection_exit_time,end_time,duration_seconds,matching_method,type_most_common
719_1_2_5_I_WB_->_23_SB_middle,719,1,I ST. & 23 ST.,I WB -> 23 SB middle,I ST. westbound,30,41,"41,1,40",23 ST. southbound middle,15,986.1,1072.2,1076.5,1107.4,121.30000000000007,approach_before_exit,4
719_2_0_2_22_NB_middle_->_I_WB,719,2,I ST. & 22 ST.,22 NB middle -> I WB,22 ST. northbound middle,25,36,"36,2,37",I ST. westbound,30,978.2,981.9,986.0,986.2,8.0,approach_before_exit,4
719_2_0_3_22_NB_middle_->_I_EB,719,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,25,36,"36,2,37",I ST. eastbound,29,978.2,981.9,986.0,1072.1,93.89999999999986,approach_before_exit,4
719_3_5_7_23_SB_middle_->_H_EB_right,719,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,1076.6,1107.5,1117.6,1161.6,85.0,approach_before_exit,4
889_1_2_5_I_WB_->_23_SB_middle,889,1,I ST. & 23 ST.,I WB -> 23 SB middle,I ST. westbound,30,41,"41,1,40",23 ST. southbound middle,15,1504.3,1614.7,1621.0,1650.3,146.0,approach_before_exit,4
889_2_0_2_22_NB_middle_->_I_WB,889,2,I ST. & 22 ST.,22 NB middle -> I WB,22 ST. northbound middle,25,36,"36,2,37",I ST. westbound,30,1435.5,1498.3,1504.2,1504.7,69.20000000000005,approach_before_exit,4
889_2_0_3_22_NB_middle_->_I_EB,889,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,25,36,"36,2,37",I ST. eastbound,29,1435.5,1498.3,1504.2,1614.6,179.0999999999999,approach_before_exit,4
889_3_5_7_23_SB_middle_->_H_EB_right,889,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,1621.1,1650.4,1656.9,1682.2,61.100000000000136,approach_before_exit,4
1030_1_3_6_I_WB_->_23_SB_middle,1030,1,I ST. & 23 ST.,I WB -> 23 SB middle,I ST. westbound,30,41,"41,1,40",23 ST. southbound middle,15,1951.5,2062.3,2066.8,2085.5,134.0,approach_before_exit,4
1030_2_0_3_22_NB_middle_->_I_WB,1030,2,I ST. & 22 ST.,22 NB middle -> I WB,22 ST. northbound middle,25,36,"36,2,37",I ST. westbound,30,1899.1,1939.1,1944.9,1954.3,55.200000000000045,approach_before_exit,4
1030_2_0_2_22_NB_middle_->_I_EB,1030,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,25,36,"36,2,37",I ST. eastbound,29,1899.1,1939.1,1944.9,1951.4,52.30000000000018,approach_before_exit,4
1030_3_6_8_23_SB_middle_->_H_EB_right,1030,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,2066.9,2085.6,2092.9,2110.6,43.69999999999982,approach_before_exit,4
1209_2_0_2_22_NB_middle_->_I_EB,1209,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,23,36,"36,2,37",I ST. eastbound,29,2324.5,2379.0,2384.7,2502.8,178.30000000000018,approach_before_exit,4
1209_3_4_6_23_SB_middle_->_H_EB_right,1209,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,2508.0,2530.2,2534.2,2579.4,71.40000000000009,approach_before_exit,4
1328_2_0_2_22_NB_middle_->_I_EB,1328,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,23,36,"36,2,37",I ST. eastbound,29,2767.8,2817.5,2825.9,2934.1,166.29999999999973,approach_before_exit,4
1328_3_4_6_23_SB_middle_->_H_EB_right,1328,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,2943.2,2969.2,2976.6,3016.6,73.40000000000009,approach_before_exit,4
1524_2_0_2_22_NB_middle_->_I_EB,1524,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,25,36,"36,2,37",I ST. eastbound,29,3268.9,3272.4,3277.0,3373.8,104.90000000000009,approach_before_exit,4
1524_3_4_6_23_SB_middle_->_H_EB_right,1524,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,3380.0,3409.9,3419.0,3448.4,68.40000000000009,approach_before_exit,4
1671_2_0_2_22_NB_middle_->_I_EB,1671,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,25,36,"36,2,37",I ST. eastbound,29,3702.6,3711.0,3727.6,3816.7,114.09999999999991,approach_before_exit,4
1671_3_4_6_23_SB_middle_->_H_EB_right,1671,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,3821.8,3853.0,3860.4,3895.2,73.39999999999964,approach_before_exit,4
1819_1_3_6_I_WB_->_23_SB_middle,1819,1,I ST. & 23 ST.,I WB -> 23 SB middle,I ST. westbound,30,41,"41,1,40",23 ST. southbound middle,15,4166.7,4251.5,4257.4,4279.5,112.80000000000018,approach_before_exit,4
1819_2_0_3_22_NB_middle_->_I_WB,1819,2,I ST. & 22 ST.,22 NB middle -> I WB,22 ST. northbound middle,23,36,"36,2,37",I ST. westbound,30,4146.5,4154.3,4161.2,4169.9,23.399999999999636,approach_before_exit,4
1819_2_0_2_22_NB_middle_->_I_EB,1819,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,23,36,"36,2,37",I ST. eastbound,29,4146.5,4154.3,4161.2,4166.6,20.100000000000364,approach_before_exit,4
1819_3_6_8_23_SB_middle_->_H_EB_right,1819,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,4257.5,4279.6,4289.6,4354.7,97.19999999999982,approach_before_exit,4
1957_2_0_2_22_NB_middle_->_I_EB,1957,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,23,36,"36,2,37",I ST. eastbound,29,4600.0,4604.1,4609.1,4691.0,91.0,approach_before_exit,4
1957_3_4_6_23_SB_middle_->_H_EB_right,1957,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,4697.3,4736.9,4743.6,4773.1,75.80000000000018,approach_before_exit,4
2068_1_3_6_I_WB_->_23_SB_middle,2068,1,I ST. & 23 ST.,I WB -> 23 SB middle,I ST. westbound,30,41,"41,1,40",23 ST. southbound middle,15,5037.3,5131.6,5137.2,5160.9,123.59999999999945,approach_before_exit,4
2068_2_0_3_22_NB_middle_->_I_WB,2068,2,I ST. & 22 ST.,22 NB middle -> I WB,22 ST. northbound middle,23,36,"36,2,37",I ST. westbound,30,4979.0,5022.9,5028.5,5038.6,59.600000000000364,approach_before_exit,4
2068_2_0_2_22_NB_middle_->_I_EB,2068,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,23,36,"36,2,37",I ST. eastbound,29,4979.0,5022.9,5028.5,5037.2,58.19999999999982,approach_before_exit,4
2068_3_6_8_23_SB_middle_->_H_EB_right,2068,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,5137.3,5161.0,5171.5,5203.7,66.39999999999964,approach_before_exit,4
2231_2_0_2_22_NB_middle_->_I_EB,2231,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,25,36,"36,2,37",I ST. eastbound,29,5403.0,5460.1,5465.8,5580.0,177.0,approach_before_exit,4
2231_3_4_6_23_SB_middle_->_H_EB_right,2231,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,5584.5,5611.8,5618.5,5672.8,88.30000000000018,approach_before_exit,4
2363_2_0_2_22_NB_middle_->_I_EB,2363,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,23,36,"36,2,37",I ST. eastbound,29,5892.5,5907.6,5916.9,6015.2,122.69999999999982,approach_before_exit,4
2363_3_4_6_23_SB_middle_->_H_EB_right,2363,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,6020.1,6062.6,6074.2,6105.3,85.19999999999982,approach_before_exit,4
2545_2_0_2_22_NB_middle_->_I_EB,2545,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,25,36,"36,2,37",I ST. eastbound,29,6319.2,6339.2,6344.7,6456.5,137.30000000000018,approach_before_exit,4
2545_3_5_7_23_SB_middle_->_H_EB_right,2545,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,6460.9,6488.9,6500.1,6519.6,58.70000000000073,approach_before_exit,4
2703_1_2_5_I_WB_->_23_SB_middle,2703,1,I ST. & 23 ST.,I WB -> 23 SB middle,I ST. westbound,30,41,"41,1,40",23 ST. southbound middle,15,6798.7,7002.6,7006.6,7032.2,233.5,approach_before_exit,4
2703_2_0_2_22_NB_middle_->_I_WB,2703,2,I ST. & 22 ST.,22 NB middle -> I WB,22 ST. northbound middle,23,36,"36,2,37",I ST. westbound,30,6781.3,6791.9,6798.6,6799.1,17.800000000000182,approach_before_exit,4
2703_2_0_3_22_NB_middle_->_I_EB,2703,2,I ST. & 22 ST.,22 NB middle -> I EB,22 ST. northbound middle,23,36,"36,2,37",I ST. eastbound,29,6781.3,6791.9,6798.6,7002.5,221.19999999999982,approach_before_exit,4
2703_3_5_7_23_SB_middle_->_H_EB_right,2703,3,H ST. & 23 ST.,23 SB middle -> H EB right,23 ST. southbound middle,15,46,"46,3,48",H ST. eastbound right,34,7006.7,7032.3,7041.1,7055.2,48.5,approach_before_exit,4
